;Intersection Database populated by Casey Diers' Sector File Creation tools at http://www.myfsim.com/SectorFileCreation
;;All Airports within 100 Nautical Miles of PHK NAVAID
FD23 000.000 N025.45.51.000 W080.08.19.165
64FL 000.000 N025.46.55.130 W080.22.39.080
FA76 000.000 N025.44.27.380 W080.17.40.800
FL25 000.000 N025.44.24.060 W080.12.44.300
FL94 000.000 N025.46.01.359 W080.20.59.188
0FD2 000.000 N025.57.35.332 W080.14.13.174
70FL 000.000 N025.43.52.000 W080.23.10.000
71FL 000.000 N025.48.34.270 W080.20.46.820
KTMB 000.000 N025.38.51.229 W080.25.59.608 ; Towered
FA35 000.000 N025.37.10.300 W080.29.19.200
KTNT 000.000 N025.51.42.500 W080.53.49.200
14FA 000.000 N025.34.12.385 W080.23.59.196
FL98 000.000 N025.49.35.700 W080.20.00.540
2FA0 000.000 N025.41.46.070 W080.22.51.740
3FL5 000.000 N025.44.02.500 W080.10.00.300
FL91 000.000 N025.37.47.820 W080.20.39.140
0FA0 000.000 N025.49.02.500 W080.20.25.400
07FD 000.000 N025.47.16.000 W080.12.56.000
25FA 000.000 N025.47.34.300 W080.12.41.290
KMIA 000.000 N025.47.43.300 W080.17.24.417 ; Towered
KOPF 000.000 N025.54.26.700 W080.16.41.600 ; Towered
FL93 000.000 N025.48.52.150 W080.08.28.360
23FA 000.000 N025.49.32.349 W080.07.16.162
FL77 000.000 N026.03.16.328 W081.04.04.252
9FL6 000.000 N027.51.59.000 W081.58.10.000
FA37 000.000 N026.06.59.703 W081.42.08.234
KAPF 000.000 N026.09.08.789 W081.46.32.299 ; Towered
FD97 000.000 N026.09.03.700 W081.47.51.970
4FL7 000.000 N026.06.23.710 W081.41.07.070
65FA 000.000 N026.12.51.800 W081.43.53.960
FA98 000.000 N026.16.25.830 W081.47.16.340
05FD 000.000 N025.57.39.331 W080.08.21.163
FL87 000.000 N025.55.01.337 W080.08.59.165
84FD 000.000 N027.02.46.220 W082.14.09.690
49FA 000.000 N027.04.27.900 W082.12.29.000
4FL4 000.000 N027.03.58.740 W082.09.45.460
FA87 000.000 N027.03.24.000 W082.09.34.000
FA80 000.000 N025.58.05.340 W081.04.53.255
16FA 000.000 N026.01.51.331 W081.02.19.249
FA74 000.000 N025.58.51.338 W081.03.24.252
KOBE 000.000 N027.15.59.700 W080.51.01.400
60FA 000.000 N027.04.59.000 W081.04.59.000
26FL 000.000 N027.15.32.770 W080.49.44.770
00FL 000.000 N027.13.51.167 W080.58.09.230
8FD5 000.000 N027.11.20.172 W081.05.13.240
5FL6 000.000 N027.24.18.030 W080.48.41.290
FD70 000.000 N027.19.31.155 W081.01.43.234
08FD 000.000 N027.21.47.154 W080.46.21.360
96FD 000.000 N027.20.00.155 W080.44.10.210
FD39 000.000 N027.09.20.000 W080.41.30.000
83FD 000.000 N027.34.49.000 W080.48.55.000
15FA 000.000 N027.12.57.010 W080.41.05.520
FD40 000.000 N027.16.19.000 W080.40.54.000
18FA 000.000 N027.14.14.400 W080.41.31.790
90FL 000.000 N027.21.40.154 W080.45.39.212
32FA 000.000 N027.14.03.166 W080.54.13.224
33FA 000.000 N027.35.53.125 W080.50.45.218
54FD 000.000 N028.22.03.000 W081.04.34.000
KISM 000.000 N028.17.23.300 W081.26.13.500 ; Towered
FD21 000.000 N028.22.36.200 W081.10.41.300
FA75 000.000 N028.21.50.400 W081.16.30.690
KPHK 000.000 N026.47.06.100 W080.41.36.100
2FL7 000.000 N027.55.27.080 W080.36.49.200
1FD7 000.000 N026.49.58.219 W080.08.36.157
87FD 000.000 N026.49.43.290 W080.05.07.330
FA21 000.000 N026.00.47.170 W080.18.40.180
4FD6 000.000 N026.36.24.269 W082.06.39.332
FA54 000.000 N026.51.13.470 W082.15.09.370
41FD 000.000 N026.53.45.000 W082.14.30.000
24FD 000.000 N028.08.41.000 W081.28.32.000
KPMP 000.000 N026.14.50.642 W080.06.40.349 ; Towered
28FA 000.000 N026.16.42.289 W080.07.19.159
FA90 000.000 N028.24.18.920 W080.37.07.210
20FL 000.000 N027.02.33.204 W082.02.37.316
